iter	Passed	Remaining
405	6268	32331
406	6282	32308
407	6299	32300
408	6317	32296
409	6331	32272
410	6350	32280
411	6389	32379
412	6404	32364
413	6424	32370
414	6448	32395
415	6467	32400
416	6476	32349
417	6494	32349
418	6516	32363
419	6536	32372
420	6565	32424
421	6593	32466
422	6604	32427
423	6615	32391
424	6627	32357
425	6636	32307
426	6647	32272
427	6661	32249
428	6684	32268
429	6701	32262
430	6716	32241
431	6729	32212
432	6743	32193
433	6757	32166
434	6771	32147
435	6784	32117
436	6808	32143
437	6817	32095
438	6832	32078
439	6844	32043
440	6853	31997
441	6876	32018
442	6898	32030
443	6912	32008
444	6921	31962
445	6943	31978
446	6952	31932
447	6962	31888
448	6975	31861
449	6987	31831
450	7000	31806
451	7031	31859
452	7052	31869
453	7058	31809
454	7070	31779
455	7071	31697
456	7098	31732
457	7104	31674
458	7121	31667
459	7136	31648
460	7160	31672
461	7170	31630
462	7190	31636
463	7209	31635
464	7236	31667
465	7254	31666
466	7270	31649
467	7291	31658
468	7315	31681
469	7341	31707
470	7365	31727
471	7373	31682
472	7390	31672
473	7408	31664
474	7427	31663
475	7449	31675
476	7470	31681
477	7488	31675
478	7510	31689
479	7513	31618
480	7527	31595
481	7541	31573
482	7557	31559
483	7575	31553
484	7587	31524
485	7596	31480
486	7605	31438
487	7632	31469
488	7644	31439
489	7662	31432
490	7668	31375
491	7676	31330
492	7682	31276
493	7694	31246
494	7707	31218
495	7724	31210
496	7727	31142
497	7743	31129
498	7749	31074
499	7766	31066
500	7786	31070
501	7796	31029
502	7817	31037
503	7837	31038
504	7846	30995
505	7864	30993
506	7875	30957
507	7881	30903
508	7902	30911
509	7917	30894
510	7935	30886
511	7950	30870
512	7968	30863
513	7983	30845
514	7997	30825
515	8006	30783
516	8020	30764
517	8040	30765
518	8050	30727
519	8065	30709
520	8079	30690
521	8091	30661
522	8105	30641
523	8117	30612
524	8139	30618
525	8165	30645
526	8195	30683
527	8212	30672
528	8232	30674
529	8246	30650
530	8262	30637
531	8275	30611
532	8290	30595
533	8315	30616
534	8332	30603
535	8352	30604
536	8378	30626
537	8379	30560
538	8393	30536
539	8422	30568
540	8439	30559
541	8461	30566
542	8477	30554
543	8489	30523
544	8504	30505
545	8529	30525
546	8538	30486
547	8554	30471
548	8576	30477
549	8587	30447
550	8602	30429
551	8617	30410
552	8629	30381
553	8643	30362
554	8652	30321
555	8666	30301
556	8686	30302
557	8711	30317
558	8729	30310
559	8749	30311
560	8761	30282
561	8790	30314
562	8811	30316
563	8820	30277
564	8832	30249
565	8849	30238
566	8862	30213
567	8872	30180
568	8891	30174
569	8905	30155
570	8920	30135
571	8926	30087
572	8943	30076
573	8952	30037
574	8968	30026
575	8984	30011
576	8998	29991
577	9017	29985
578	9033	29969
579	9048	29952
580	9064	29938
581	9085	29942
582	9098	29918
583	9131	29958
584	9145	29938
585	9167	29942
586	9184	29931
587	9202	29925
588	9222	29922
589	9234	29893
590	9246	29868
591	9260	29847
592	9269	29808
593	9278	29771
594	9290	29743
595	9295	29695
596	9307	29667
597	9318	29638
598	9340	29641
599	9348	29604
600	9366	29596
601	9385	29590
602	9397	29562
603	9414	29551
604	9433	29548
605	9445	29522
606	9461	29506
607	9477	29492
608	9498	29492
609	9513	29475
610	9530	29464
611	9539	29429
612	9552	29404
613	9574	29410
614	9590	29395
615	9606	29380
616	9622	29368
617	9639	29355
618	9660	29357
619	9674	29334
620	9687	29312
621	9701	29291
622	9714	29269
623	9723	29231
624	9731	29195
625	9758	29213
626	9763	29167
627	9782	29160
628	9793	29131
629	9805	29104
630	9821	29090
631	9826	29044
632	9827	28985
633	9844	28974
634	9853	28940
635	9862	28903
636	9874	28878
637	9883	28844
638	9902	28839
639	9918	28824
640	9937	28819
641	9946	28784
642	9963	28775
643	9975	28750
644	10005	28774
645	10024	28770
646	10045	28770
647	10066	28770
648	10086	28766
649	10095	28733
650	10112	28722
651	10128	28708
652	10137	28672
653	10151	28655
654	10169	28645
655	10190	28645
656	10209	28639
657	10233	28646
658	10242	28613
659	10259	28601
660	10283	28611
661	10304	28610
662	10323	28603
663	10349	28616
664	10362	28594
665	10378	28578
666	10396	28571
667	10405	28538
668	10425	28532
669	10443	28524
670	10456	28501
671	10469	28480
672	10484	28462
673	10490	28420
674	10513	28425
675	10535	28426
676	10553	28418
677	10565	28392
678	10584	28385
679	10592	28350
680	10607	28332
681	10627	28330
682	10641	28310
683	10660	28302
684	10675	28285
685	10689	28267
686	10701	28242
687	10713	28216
688	10728	28199
689	10734	28157
690	10745	28132
691	10757	28107
692	10776	28098
693	10791	28083
694	10804	28059
695	10812	28025
696	10831	28017
697	10849	28010
698	10867	28001
699	10879	27976
700	10891	27950
701	10900	27918
702	10912	27893
703	10927	27877
704	10944	27865
705	10950	27825
706	10967	27814
707	10987	27809
708	10999	27785
709	11008	27753
710	11018	27723
711	11041	27727
712	11051	27697
713	11082	27720
714	11101	27715
715	11113	27689
716	11124	27663
717	11130	27624
718	11136	27584
719	11153	27573
720	11165	27548
721	11176	27522
722	11192	27508
723	11210	27499
724	11228	27490
725	11243	27474
726	11254	27448
727	11271	27436
728	11289	27427
729	11302	27403
730	11314	27379
731	11337	27382
732	11355	27373
733	11371	27359
734	11399	27375
735	11411	27351
736	11434	27352
737	11446	27328
738	11452	27291
739	11465	27268
740	11477	27245
741	11489	27221
742	11509	27216
743	11524	27200
744	11530	27162
745	11556	27171
746	11573	27159
747	11593	27154
748	11605	27130
749	11624	27123
750	11650	27132
751	11659	27101
752	11670	27077
753	11686	27062
754	11707	27059
755	11722	27042
756	11740	27032
757	11748	27000
758	11763	26982
759	11774	26958
760	11792	26947
761	11805	26926
762	11820	26909
763	11829	26879
764	11843	26860
765	11849	26823
766	11861	26800
767	11885	26804
768	11903	26794
769	11913	26766
770	11922	26737
771	11936	26716
772	11953	26705
773	11965	26681
774	11977	26660
775	11993	26646
776	12014	26642
777	12032	26633
778	12052	26626
779	12073	26624
780	12082	26593
781	12103	26591
782	12114	26564
783	12131	26553
784	12146	26537
785	12162	26521
786	12182	26517
787	12191	26486
788	12203	26463
789	12218	26448
790	12233	26431
791	12242	26402
792	12257	26384
793	12275	26375
794	12297	26374
795	12317	26367
796	12323	26332
797	12348	26336
798	12382	26360
799	12401	26353
800	12419	26342
801	12426	26309
802	12440	26291
803	12458	26280
804	12474	26266
805	12485	26241
806	12503	26230
807	12509	26195
808	12537	26206
809	12559	26203
810	12578	26196
811	12596	26186
812	12613	26173
813	12629	26158
814	12643	26141
815	12649	26105
816	12667	26095
817	12688	26091
818	12706	26080
819	12724	26068
820	12740	26055
821	12761	26051
822	12773	26027
823	12798	26031
824	12816	26020
825	12833	26009
826	12849	25993
827	12868	25986
828	12881	25964
829	12893	25941
830	12914	25938
831	12926	25914
832	12941	25898
833	12957	25884
834	12977	25877
835	13000	25876
836	13022	25873
837	13039	25860
838	13061	25857
839	13071	25831
840	13087	25817
841	13104	25803
842	13119	25788
843	13140	25782
844	13153	25761
845	13174	25756
846	13187	25737
847	13199	25713
848	13210	25690
849	13230	25682
850	13252	25678
851	13269	25666
852	13281	25643
853	13301	25637
854	13315	25619
855	13316	25575
856	13335	25566
857	13349	25548
858	13363	25529
859	13385	25525
860	13398	25505
861	13413	25489
862	13428	25472
863	13452	25473
864	13486	25491
865	13501	25475
866	13519	25464
867	13543	25463
868	13564	25458
869	13582	25447
870	13599	25434
871	13628	25443
872	13659	25457
873	13676	25444
874	13685	25415
875	13697	25392
